id;siren;nic;l1_normalisee;l2_normalisee;l3_normalisee;l4_normalisee;l5_normalisee;l6_normalisee;l7_normalisee;numvoie;typvoie;libvoie;codpos;libcom;apet700;libtefet;adr_mail
8207663;784713604;00014;"ECOLE MIXTE PRIMAI STE MARIE BATIGNOLL";;;"77 RUE TRUFFAUT";;"75017 PARIS";FRANCE;77;RUE;TRUFFAUT;75017;"PARIS 17";8559B;"10 à 19 salariés";
8208190;784778391;00010;"PAROISSE SAINT GEORGES";;;"114 AVENUE SIMON BOLIVAR";;"75019 PARIS";FRANCE;114;AV;"SIMON BOLIVAR";75019;"PARIS 19";9491Z;"6 à 9 salariés";
8225499;786950261;00028;"FERMETURE MELUNAISE 99 SOC LA";"ZONE INDUSTRIELLE";;"1000 RUE DU MARECHAL JUIN";;"77000 VAUX LE PENIL";FRANCE;1000;RUE;"DU MARECHAL JUIN";77000;"VAUX LE PENIL";4332A;"6 à 9 salariés";
8235323;788495315;00012;"BOULANGERIE LANTERNE";;;"9 RUE LANTERNE";;"69001 LYON";FRANCE;9;RUE;LANTERNE;69001;"LYON 1ER";1071C;"3 à 5 salariés";
8242781;788606770;00014;YENIDOGAN;"L ART DE PL HAIR";;"18 AVENUE DE LA CONCORDE";;"21000 DIJON";FRANCE;18;AV;"DE LA CONCORDE";21000;DIJON;9602A;"3 à 5 salariés";
8248005;788685923;00013;"MANO A MANO";"VIANDAS DE SALAMANCA";;"30 RUE POISSONNERIE";;"64100 BAYONNE";FRANCE;30;RUE;POISSONNERIE;64100;BAYONNE;4729Z;"3 à 5 salariés";
8248006;788685923;00021;"MANO A MANO";"VIANDAS DE SALAMANCA";;"5 RUE LOBINEAU";;"75006 PARIS";FRANCE;5;RUE;LOBINEAU;75006;"PARIS 6";4729Z;"1 ou 2 salariés";
8251425;788739795;00029;"LE GROSSISTE DE LA PLOMBERIE";;;"171 AVENUE GAMBETTA";;"93170 BAGNOLET";FRANCE;171;AV;GAMBETTA;93170;BAGNOLET;4674B;"3 à 5 salariés";
8256912;788824399;00018;"SATHO DANSE";;;"37 BOULEVARD CASTELLANE";;"69580 SATHONAY CAMP";FRANCE;37;BD;CASTELLANE;69580;"SATHONAY CAMP";9499Z;"3 à 5 salariés";
8265230;788952471;00019;"MONSIEUR NICOLAS MAS";;;"5 RUE BOULAY";;"75017 PARIS";FRANCE;5;RUE;BOULAY;75017;"PARIS 17";7410Z;"0 salarié";
8267280;788983450;00016;"DISTRIB PLUS H";"DISTRI PLUS H";;"20 RUE LE BRUN";;"75013 PARIS";FRANCE;20;RUE;"LE BRUN";75013;"PARIS 13";7312Z;"6 à 9 salariés";
8316280;789713989;00026;"EQUIP PISCINE";"EQUIP PISCINE";;"7 RUE ALFRED KASTLER";;"14000 CAEN";FRANCE;7;RUE;"ALFRED KASTLER";14000;CAEN;4690Z;"0 salarié";
8317056;789725967;00010;"SOC DE GESTION PETROLIERE AUTOGRILL";;;"18 RUE JACQUES REATTU";;"13009 MARSEILLE";FRANCE;18;RUE;"JACQUES REATTU";13009;"MARSEILLE 9";4730Z;"Unités non employeuses";
8317057;789725967;00028;"SOC DE GESTION PETROLIERE AUTOGRILL";"AUTOROUTE A9";;"AIRE DE BEZIERS MONTBLANC SUD";;"34290 MONTBLANC";FRANCE;;;"AIRE DE BEZIERS MONTBLANC";34290;MONTBLANC;4730Z;"20 à 49 salariés";
8317058;789725967;00036;"SOC DE GESTION PETROLIERE AUTOGRILL";"AIRE AUTOROUTE A6";;;;"69220 TAPONAS";FRANCE;;;"AUTOROUTE A6";69220;TAPONAS;4730Z;"10 à 19 salariés";
8325998;789857828;00014;"LES TROIS PONTS";"LA CREPERIE DE QUIBERON";;"53 RUE DU MONTPARNASSE";;"75014 PARIS";FRANCE;53;RUE;"DU MONTPARNASSE";75014;"PARIS 14";5610A;"3 à 5 salariés";
8333611;789963451;00024;"MONSIEUR CYRIL BENHAIM";;;"8 IMPASSE BEAUREGARD";;"69580 SATHONAY VILLAGE";FRANCE;8;IMP;BEAUREGARD;69580;"SATHONAY VILLAGE";4619B;"0 salarié";
8337382;790019350;00020;"PLANETE COURSES";;;"34 RUE DE SAUSSURE";;"75017 PARIS";FRANCE;34;RUE;"DE SAUSSURE";75017;"PARIS 17";4932Z;"6 à 9 salariés";
8344696;790123558;00013;"BI EAUNIQUE";;;"7 ROUTE DE LA REINE";;"92100 BOULOGNE BILLANCOURT";FRANCE;7;RTE;"DE LA REINE";92100;"BOULOGNE BILLANCOURT";4789Z;"0 salarié";
8344697;790123558;00021;"BI EAUNIQUE";"12 24";;"12 RUE DE LA FONTAINE HENRI IV";;"92370 CHAVILLE";FRANCE;12;RUE;"DE LA FONTAINE HENRI IV";92370;CHAVILLE;4778C;"0 salarié";
8347135;790159271;00010;"FINANCIERE NEVEU";;;"138 BOULEVARD PEREIRE";;"75017 PARIS";FRANCE;138;BD;PEREIRE;75017;"PARIS 17";7010Z;"1 ou 2 salariés";
8357847;790303531;00012;"CHEZ DOLLY";;;"28 RUE GABRIEL CRIE";;"92240 MALAKOFF";FRANCE;28;RUE;"GABRIEL CRIE";92240;MALAKOFF;5610A;"0 salarié";
8371875;790518948;00027;"CALORIE PIECES";;;"8 ALLEE VICTOR BASCH";;"42000 ST ETIENNE";FRANCE;8;ALL;"VICTOR BASCH";42000;"SAINT ETIENNE";4752A;"1 ou 2 salariés";
8371876;790518948;00035;"CALORIE PIECES";;"ZONE INDUSTRIELLE DU BREZET";"228 AVENUE JEAN MERMOZ";;"63100 CLERMONT FERRAND";FRANCE;228;AV;"JEAN MERMOZ";63100;"CLERMONT FERRAND";4752A;"3 à 5 salariés";
8371877;790518948;00043;"CALORIE PIECES";;;"44 BOULEVARD DES ETINES";;"42120 LE COTEAU";FRANCE;44;BD;"DES ETINES";42120;"LE COTEAU";4752A;"0 salarié";
8386790;790739254;00015;"AMIE BAGUETTE";;;"5 PLACE OCTAVE CHANUTE";;"75020 PARIS";FRANCE;5;PL;"OCTAVE CHANUTE";75020;"PARIS 20";1071C;"3 à 5 salariés";
8415822;791167265;00010;"SELARL CALVEZ";;;"6 PLACE DES ARCADES";;"35510 CESSON SEVIGNE";FRANCE;6;PL;"DES ARCADES";35510;"CESSON SEVIGNE";6910Z;"Unités non employeuses";
8434206;791438955;00019;"BLANC BOUVIER";;;"1 RUE DE LA FABRIQUE";;"73160 COGNIN";FRANCE;1;RUE;"DE LA FABRIQUE";73160;COGNIN;4332A;"6 à 9 salariés";
8458046;791786551;00014;"HOTEL MERCEDES";;"BATIMENT A1";"148 TRAVERSE DE LA MARTINE";;"13011 MARSEILLE";FRANCE;148;TRA;"DE LA MARTINE";13011;"MARSEILLE 11";5510Z;"0 salarié";
8458047;791786551;00022;"HOTEL MERCEDES";;;"128 AVENUE DE WAGRAM";;"75017 PARIS";FRANCE;128;AV;"DE WAGRAM";75017;"PARIS 17";5510Z;"10 à 19 salariés";
8469538;791953706;00037;"SCOP REPERES";REPERES;;"133 AVENUE DES MINIMES";;"31200 TOULOUSE";FRANCE;133;AV;"DES MINIMES";31200;TOULOUSE;7022Z;"3 à 5 salariés";
8471721;791984917;00025;"P P N & DECOR";;;"19 B RUE BLAISE PASCAL";;"78800 HOUILLES";FRANCE;19;RUE;"BLAISE PASCAL";78800;HOUILLES;4334Z;"0 salarié";
8508387;792516692;00011;BERMAT;;;"18 RUE EMILE JAMAIS";;"30900 NIMES";FRANCE;18;RUE;"EMILE JAMAIS";30900;NIMES;1085Z;"3 à 5 salariés";
8514033;792599094;00028;"TPC EUROPE S A S";"BOITE 37";;"16 B RUE D ODESSA";;"75014 PARIS";FRANCE;16;RUE;"D ODESSA";75014;"PARIS 14";6202A;"1 ou 2 salariés";
